id,nome,tipo,atividade_tipo,duplicatas
456d01f4-e0b9-48e4-8b71-5ab8021fb50f,Animais,DESPESA,INVESTIMENTO,1
4a392d28-1823-44ed-8866-c8b95e2ab29f,Maquinas e Equipamentos,DESPESA,INVESTIMENTO,1
3316e9b5-7c3b-49bb-a4b6-dd52940f1548,Obras e Benfeitorias,DESPESA,INVESTIMENTO,1
0807a0ed-d899-4a06-bd21-315e2b53a498,Outros,CONDOMINIO,RURAL,1
ef45a7b5-89d1-419d-afe8-30814b4c7520,Cessão de direitos possessórios de 5 hectares de imóvel sub judice,CONTRATO,RURAL,1
d9668cf7-d3a1-4246-8bd0-ada1a0fd9322,02 Cameras de AR moto,DESPESA,RURAL,1
db55e51c-7bba-48a6-aff9-15c83587c72b,02 Mata Bicheiras,DESPESA,RURAL,1
0173b4ae-825a-47e4-9062-714ce3326356,06 papel toalha,DESPESA,RURAL,1
d114664e-9470-4f10-ad9d-36a2f0eecc77,1 CX de Brinco liso ALLFLEX 25 un,DESPESA,RURAL,1
bc14deac-9ddd-43c0-9739-aeaba20448f8,Agulhas de aplicar ocitocina,DESPESA,RURAL,1
b1b81762-2aed-44d2-9949-4ff64c8a05a9,Agulhas ocitocina,DESPESA,RURAL,1
afa7fe96-e219-410f-afde-14f96892ea73,Algodao,DESPESA,RURAL,1
d8079501-0b3d-4659-bd19-c4cfa677d6ca,Arrendamento Pago,DESPESA,RURAL,1
2daf6a30-14f2-4c6f-8174-d5a3d51bfbbb,Balaio de silagem,DESPESA,RURAL,1
30bd7942-7950-433a-aa96-be4f7259821a,Bico Milkbar,DESPESA,RURAL,1
ae59312c-36ea-4aee-9f29-dc3b89c38e08,Colheita de Silagem,DESPESA,RURAL,1
2ed522fb-411b-43fc-96a3-321014a1e815,Compra de 03 nucleo Leite 25 Kg,DESPESA,RURAL,1
7c4e65c5-6a76-4810-b822-ff239c23c86e,Compra de 03 scs de sucedaneo 10 Kg,DESPESA,RURAL,1
e2a616d3-0da2-4223-8cfa-f57b8eef55b0,Compra de 100 sacos de adubo de planta e...,DESPESA,RURAL,1
bfc73863-710c-46e1-a0be-eb3a0dff4d74,Compra de 10 sacos de soja em 09/02,DESPESA,RURAL,1
362a776b-c8f4-4d82-8168-3123d84d451a,Compra de 12 teteiras e anel de vedação - João...,DESPESA,RURAL,1
d237aa86-910e-414d-8f29-dca43dc94bd7,Compra de 15 sacos de milho - inicio do mes,DESPESA,RURAL,1
efa2205d-b269-4d54-95a9-631f60358bab,Compra de 20 sc de milho,DESPESA,RURAL,1
d34560fb-dc4e-4527-abd5-9c5aed490a21,compra de 300 fertilizante,DESPESA,RURAL,1
b898e927-4db7-4c2a-89ae-c0ec1eba5287,compra de 300 kg de fertilizante por 3000,DESPESA,RURAL,1
6bb04f6a-1042-4028-b2c9-4cd1c7d2f28e,Compra de 4 malas de milheto 25 Kg para o...,DESPESA,RURAL,1
98ce2690-c106-4029-8281-74d1d341dc30,COMPRA DE ADUBO NPK PARA SILAGEM DE MILHO,DESPESA,RURAL,1
4b55379c-f7f4-4f69-b802-e367457a23c9,compra de adubo organico,DESPESA,RURAL,1
a51f71aa-013e-4e6b-afea-d4ed0169582d,compra de diesel para o trator,DESPESA,RURAL,1
c430fff5-8277-4176-9c1b-3172b430f0db,Compra de Farelo de Soja,DESPESA,RURAL,1
230f6019-fd8c-4744-8829-8ca4d96fc881,Compra de Farmácia  - Sanidade,DESPESA,RURAL,1
f490e1ef-184e-4a80-8762-85ee75402535,compra de fertilizante editado,DESPESA,RURAL,1
8e1c8dfa-b514-48b0-b8cc-25f90daf00d1,Compra de gas para a sede,DESPESA,RURAL,1
0b3f81ae-d4e5-4581-aa86-f2dd53eba233,Compra de herbicidas para aplicação em Capim...,DESPESA,RURAL,1
55ef5e11-d3a1-46b5-aa1b-335de07507e3,Compra de insumos das camas free stal,DESPESA,RURAL,1
92e86485-f2de-4f50-8016-505f647d69ec,Compra de iodo 10%,DESPESA,RURAL,1
6182b4fa-f311-45be-84c8-8811295664d0,Compra de milho,DESPESA,RURAL,1
e88d321e-4404-43fc-99eb-be15dcc7c962,Compra de Milho - fuba,DESPESA,RURAL,1
a5c3bc80-8054-4931-b570-fc6736ec5dac,Compra de milho para silagem,DESPESA,RURAL,1
123b8461-5fda-4bfd-8b48-766a1b38aea7,Compra de milho Zizinho - pago 20 sc,DESPESA,RURAL,1
e0649279-290d-4266-aa11-c8963ca8e4b4,Compra de Sucedâneo,DESPESA,RURAL,1
e7cb9e36-2412-4c6a-bd7d-dd2f1db49ca9,Compra de tubulações e conexões para...,DESPESA,RURAL,1
f4736ae8-fc00-4455-8dc2-29db8a4ed0e0,Compra de Zizinho,DESPESA,RURAL,1
41ab0cc9-4c79-41c7-9bc9-1ba4ac284049,Conexoes de canos resfriamento,DESPESA,RURAL,1
d1cf236e-b0bd-4ef2-b967-8498302545c2,corda,DESPESA,RURAL,1
af6c304b-ef76-4fa4-87f1-b2b5c03f0e65,Corrente de moto serra Still,DESPESA,RURAL,1
eb941692-4a96-427f-bc82-fabc76916945,D1000,DESPESA,RURAL,1
4e2b6686-6c41-411b-a7da-5f6ce0622bf7,DERMASOFT  5,DESPESA,RURAL,1
4f724a59-0873-4ac9-851d-f8d70ea132dc,Dermasoft 5% Weizur,DESPESA,RURAL,1
